country_code
AUS
NZL
GBR
USA
ATG
BHS
BRB
BLZ
BWA
BDI
CMR
CAN
COK
DMA
SWZ
FJI
GMB
GHA
GRD
GUY
IND
IRL
JAM
KEN
KIR
LSO
LBR
MWI
MLT
MHL
MUS
FSM
NAM
NRU
NGA
NIU
PAK
PLW
PNG
PHL
RWA
KNA
LCA
VCT
WSM
SYC
SLE
SGP
SLB
SOM
ZAF
SSD
SDN
TZA
TON
TTO
TUV
UGA
VUT
ZMB
ZWE
